id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46310560,Apt steps from the Capitol Avail. for Inauguration,55609307,Liz,,"Union Station, Stanton Park, Kingman Park",38.89207,-76.99897,Entire home/apt,500,2,0,,,1,90,0,
46312306,Casita Dorada,15584038,Kyle,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91856,-77.0452,Entire home/apt,104,3,0,,,1,0,0,
46316281,Walk to Inauguration PRIME location w/ parking,20889989,Vera,,"Shaw, Logan Circle",38.90942,-77.02664,Entire home/apt,1200,2,0,,,1,90,0,
46324877,"3BR Condo, 2 miles from Capital Hill in Eckington",163681721,Lilly,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91438,-77.00845,Entire home/apt,111,3,17,2021-09-06,1.82,2,349,17,
46329044,"Gorgeous, clean and convenient 3 bedrooms home.",333130860,Mimi,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90142,-76.93355,Entire home/apt,300,2,4,2021-07-07,0.52,1,365,4,
46330930,"Private in DC: 2 king beds, perf for inauguration",3626071,Sarmed,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88108,-77.01659,Entire home/apt,600,2,0,,,1,174,0,
46338150,900 sq ft Capitol Hill English Basement,8591234,Sean,,"Union Station, Stanton Park, Kingman Park",38.89788,-76.98954,Entire home/apt,100,2,9,2021-09-07,0.88,10,90,9,
46340651,Newly built Bsmt studio apt in Quiet neighborhood,11622522,Jennifer,,"Colonial Village, Shepherd Park, North Portal Estates",38.98146,-77.03112,Entire home/apt,400,3,0,,,1,0,0,
46350084,The District by Hilton Club,104506827,Noble,,"West End, Foggy Bottom, GWU",38.90791,-77.04957,Private room,500,3,0,,,4,267,0,
46350159,The District by Hilton Club,104506827,Noble,,"West End, Foggy Bottom, GWU",38.90792,-77.05004,Private room,500,3,0,,,4,267,0,
46350985,Parisienne Suite - Swann House Historic Dupont Circle Inn,305689325,Swann House,,"Dupont Circle, Connecticut Avenue/K Street",38.9134,-77.0386,Private room,424,1,0,,,3,39,0,
46351619,Beautiful apartment in historic Capitol Hill,203092834,Roger,,"Capitol Hill, Lincoln Park",38.88902,-76.98584,Entire home/apt,499,2,0,,,1,0,0,
46356120,"Private Bathroom, 4blocks to Metro",44706521,David,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93116,-77.02468,Private room,40,5,3,2021-06-14,0.76,8,0,3,
46358889,Sonder | Callisto | One-Bedroom Apartment,219493221,Sonder (D.C.),,"Near Southeast, Navy Yard",38.87727,-76.99532,Entire home/apt,143,2,7,2021-08-17,3.00,15,252,7,
46372004,Private 2BR/1BA Suite 15 min from the heart of DC,38197351,Molley,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86756,-76.94559,Entire home/apt,82,1,8,2021-03-14,0.81,1,0,8,
46372191,Charming 14th Street Rowhouse in Columbia Heights,159644445,Brooke And Luis,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93525,-77.03339,Entire home/apt,300,3,1,2021-07-04,0.39,5,331,1,
46372366,Dog-friendly basement with off-street parking,152998344,Rich,,"Union Station, Stanton Park, Kingman Park",38.89483,-76.97637,Entire home/apt,70,1,19,2021-09-15,1.99,1,58,19,
46376464,Sojourn on 19th-6,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.91332,-77.04319,Entire home/apt,90,21,7,2021-08-04,0.84,147,275,7,
46376471,Entire condo in Dupont Victorian rowhome,17923293,Justice,,"West End, Foggy Bottom, GWU",38.90766,-77.04723,Entire home/apt,500,1,0,,,1,173,0,
