id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
34023379,Modern 2 Bedroom  Condo near Logan Circle,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90502,-77.02932,Entire home/apt,192,3,4,6/20/2021,0.16,12,138,1,,4.75
34024310,Style and Sophistication | Capitol Hill & H St,157932523,Rob,,"Union Station, Stanton Park, Kingman Park",38.89771,-76.986,Entire home/apt,130,2,29,9/6/2021,1.06,1,98,13,,4.85
34033161,Charming English-style Basement Apartment,124887148,Amy,,"Brookland, Brentwood, Langdon",38.93396,-76.97888,Entire home/apt,60,3,29,8/3/2021,1.15,1,72,2,,4.76
34054492,Intern Rooms right next to the Metro station,315148,John,,"Brightwood Park, Crestwood, Petworth",38.93772,-77.02506,Private room,39,28,5,8/31/2021,0.22,32,281,3,,5
34077058,For a stay that’s on a budget :),84910779,Jenna,,"Union Station, Stanton Park, Kingman Park",38.90146,-76.99113,Shared room,35,1,16,7/26/2019,0.62,1,0,0,,4.56
34123240,Modern Luxury in Georgetown,744055,Kellee,,"Georgetown, Burleith/Hillandale",38.90986,-77.06636,Entire home/apt,479,2,25,9/12/2021,1.12,1,94,15,,4.84
34124396,Modern Sunny apartment walking distance to H St!,110722382,Lee,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90647,-76.98763,Entire home/apt,125,2,62,8/7/2021,2.21,2,172,4,,4.89
34127376,American/Georgetown Univ. Glover Park Dwntwn Easy,241508765,Alan,,"Cathedral Heights, McLean Gardens, Glover Park",38.91977,-77.07813,Entire home/apt,100,1,20,5/6/2021,0.7,4,15,2,,4.3
34137898,Gorgeous Colonial House with an Oasis Backyard,4584982,Carlos,,"Brightwood Park, Crestwood, Petworth",38.95101,-77.02362,Entire home/apt,247,3,37,6/30/2021,1.31,1,306,7,,4.92
34143738,"Cozy ,Historic  House  by the Convention Center",202075543,Vivienne,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93312,-77.02437,Entire home/apt,180,2,41,3/20/2020,1.61,3,258,0,,4.9
34144445,"Elegant, luminous home in Capitol Hill",777337,Vanessa,,"Union Station, Stanton Park, Kingman Park",38.89534,-76.99105,Entire home/apt,140,3,19,8/25/2020,0.75,1,0,0,,4.79
34156122,Nice intern housing next to the metro station,315148,John,,"Brightwood Park, Crestwood, Petworth",38.93819,-77.02482,Private room,39,28,4,9/27/2019,0.21,32,124,0,,5
34162474,"Comfy Mt. Vernon 1BR w/ Gym, Doorman, close to metro, by Blueground",107434423,Blueground,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90367,-77.0182,Entire home/apt,155,30,0,,,133,183,0,,
34172494,Capital City,46698505,Bekam,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.907,-76.93679,Entire home/apt,69,2,25,10/18/2020,1.07,1,43,2,,4.6
34175841,Cozy rooms for interns 10 seconds from the metro,315148,John,,"Brightwood Park, Crestwood, Petworth",38.93765,-77.02466,Private room,39,4,5,8/4/2021,0.23,32,350,3,,4.2
34176155,Good looking room 15 mins walk to shaw metro,315148,John,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91843,-77.01504,Private room,35,3,7,8/1/2021,0.25,32,273,4,,4.57
